host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,accommodates,bathrooms_text,bedrooms,beds,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire,property_type_Other,property_type_Private,property_type_Room,property_type_Shared,Backyard,Baking sheet,Bathtub,Bed linens,Board games,Body soap,Books and reading material,Carbon monoxide alarm,Central heating,Cleaning products,Clothing storage: closet,Coffee Facilities,Coffee maker,Cooking basics,Crib,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Drying rack for clothing,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,Free parking on premises,Free street parking,Free washer – In unit,Freezer,Hangers,Heating,High chair,Host greets you,Hot water,Hot water kettle,Indoor fireplace,Iron,Kitchen,Laundromat nearby,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outdoor furniture,Oven,Pack ’n play/Travel crib,Paid parking off premises,Pets allowed,Private entrance,Refrigerator,Room-darkening shades,Self check-in,Shower gel,Single level home,Smoke alarm,Soap,Stove,TV,Toaster,Washer,WiFi,Wine glasses,reviews_pc1,availability_pc1,nights_pc1
4,1.0,0.99,0,51,59,2,1,1,"Old Town, Princes Street and Leith Street",6,2.0,2.0,2.0,2.3242824552976926,1,15,12,1,1,48,48,0,0,0.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,-1.3777129028821804,0.3835305846857808,-1.466828224360994
4,1.0,0.98,0,5,6,2,1,1,Abbeyhill,10,2.0,4.0,8.0,2.423245873936808,1,81,2,0,0,1,1,0,0,0.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1.2870273201231772,-0.825327647155261,-1.9684187503779975
4,1.0,0.97,0,3,4,2,1,1,Hillside and Calton Hill,4,1.0,1.0,2.0,2.0755469613925306,1,412,6,1,0,3,3,0,0,3.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.9144594741832954,-1.0814665064874542,1.2248102541118155
4,1.0,0.99,0,51,59,2,1,1,Meadowbank and Abbeyhill North,6,2.0,2.0,2.0,2.0863598306747484,1,9,6,0,1,48,48,0,0,0.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,3.6489001494975466,1.362314788737474,-1.466828224360994
4,1.0,0.86,1,3,3,2,1,1,Great Junction Street,2,1.0,1.0,1.0,1.9395192526186185,1,132,14,0,1,3,2,1,0,1.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,-0.2554211208371959,-2.577309341361291,0.6174096838987096
3,1.0,0.89,0,2,8,3,1,1,Granton West and Salvesen,7,1.0,2.0,4.0,2.285557309007774,1,75,18,1,0,2,2,0,0,0.66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,-0.05356900494044864,3.4230610809190765,-0.9640208320093702
4,1.0,0.94,0,3,3,1,1,1,"Old Town, Princes Street and Leith Street",4,1.0,2.0,4.0,2.2648178230095364,1,229,6,0,1,2,2,0,0,1.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-0.8102860266475418,0.7259120466031341,0.3564366446639405
4,1.0,0.98,1,24,51,3,1,1,New Town West,5,2.0,3.0,4.0,2.4683473304121573,1,153,56,4,0,24,24,0,0,1.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-0.5665588721061817,-0.21327674178100675,-2.0894550652564297
3,1.0,0.62,0,2,2,2,1,1,Portobello,2,1.0,1.0,1.0,1.5440680443502757,1,33,3,2,0,2,1,1,0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-2.249908456111722,-0.24414710883248894,1.0230571662049868
4,1.0,0.61,1,1,3,2,1,1,"Old Town, Princes Street and Leith Street",4,1.0,1.0,3.0,1.863322860120456,1,196,10,0,0,1,1,0,0,1.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,-1.2919415769853702,-1.7906417952101934,5.583245532598711
2,0.67,0.61,1,1,2,2,1,1,Pilrig,2,1.0,1.0,1.0,1.8325089127062364,1,220,8,0,0,1,1,0,0,1.86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,-0.9243997112353258,-2.7066837739404894,-1.7777923840088923
4,1.0,0.99,1,5,5,3,1,1,Granton and Royston Mains,2,1.0,1.0,1.0,1.7323937598229686,1,328,47,4,0,2,1,1,0,2.81,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,-1.4687645241579093,1.0235442517549702,0.6420073845257409
